[2024-11-22 15:55:06,013: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<<]
[2024-11-22 15:55:06,014: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 15:55:06,016: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 15:55:06,016: INFO: common: created directory at: artifacts]
[2024-11-22 15:55:06,017: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-22 15:55:06,017: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-22 15:56:55,081: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-22 15:57:03,898: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<< 

x==============x]
[2024-11-22 15:57:03,898: INFO: main: *****************]
[2024-11-22 15:57:03,898: INFO: main: >>>>>>>>> stage Prepare base model started <<<<<<<<<<<]
[2024-11-22 15:57:03,900: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 15:57:03,901: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 15:57:03,901: INFO: common: created directory at: artifacts]
[2024-11-22 15:57:03,902: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-22 15:57:04,289: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-22 15:57:04,567: INFO: main: >>>>>>>>>> stage Prepare base model completed <<<<<<

x============x]
[2024-11-22 15:57:04,567: INFO: main: *****************]
[2024-11-22 15:57:04,567: INFO: main: >>>>>>> stage Training started <<<<<<<<<]
[2024-11-22 15:57:04,569: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 15:57:04,571: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 15:57:04,571: INFO: common: created directory at: artifacts]
[2024-11-22 15:57:04,572: INFO: common: created directory at: artifacts\training]
[2024-11-22 16:03:34,602: INFO: main: >>>>>>>> stage Training completed <<<<<<<<

x=========x]
[2024-11-22 16:03:34,602: INFO: main: ****************]
[2024-11-22 16:03:34,603: INFO: main: >>>>>>> stage Model Evaluation with MLflow stage started <<<<<<<<<]
[2024-11-22 16:03:34,604: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 16:03:34,606: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 16:03:34,606: INFO: common: created directory at: artifacts]
[2024-11-22 16:05:30,885: INFO: common: json file saved at: scores.json]
[2024-11-22 16:05:32,036: ERROR: main: API request to endpoint /api/2.0/mlflow/runs/create failed with error code 403 != 200. Response body: '']
Traceback (most recent call last):
  File "main.py", line 51, in <module>
    model_evaluation.main()
  File "D:\ML Block\Projects\ETE AI Projects\kidney-disease-classification-dl-project\src\kidney_cnn_classifier\pipeline\stage_04_model_evaluation_with_mlflow.py", line 21, in main
    raise e
